CLASS;sub-class 1;sub-class 2;sub-class 3;sub-class 4;sub-class 5;Synonym;Modification proposée;NB DE RELATIONS POSITIVE (Facteurs de risque);NB DE RELATIONS NEGATIVES (Facteurs protecteurs);NB DE RELATIONS NS;Relations Flous;DOI Distincts;Définition;Outils;Autres outils utilisés pour ces variables;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with family;Parent relationship quality;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with family;Parental social support;;;Parent support;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with family;Paternal relationship;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;Depth of teammate relationships;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;Peer social acceptance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;Sport friendship quality;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;Supportive friendships;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;Teammate relatedness;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with peer/teammate/friend;Teammate social support;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Social support;;;;;;1;1;3;x;2;Characterized by the actions of the coach that aim at satisfying the psychosocial needs of the athletes by creating a supportive climate amongst team members (Teques et al., 2020);The Climate in Sport Setting Scale (CISSS);Sports Leadership Scale (SLS);Source of Sport Confidence Questionnaire (SSCQ);Multidimensional Scale of Perceived Social Support (MSPSS);;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Social support;Perception of social support;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Social support;Perception of social support;Perception of social support from athletic department;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Social support;Perception of social support;Perception of social support from family;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Positive relationships with significant others;Social support;Perception of social support;Perception of social support from teammates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;General pressures;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Peer pressure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;General pressures;Perfectionism other-oriented;;;Other oriented perfectionism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;General pressures;Perfectionism socially prescribed;;;"Socially prescribed perfectionism ; social oriented perfectionism";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from boy/girlfriend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from coaches;;;"Coach-related pressures ; coach pressure";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from friends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from judges;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from parents;;;Parental expectations and parental criticism;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from parents to be perfect;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from teammates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Pressure from TV/movies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;General pressures;Romantic pressure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Perception of social and sport pressure from other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Perception of social and sport pressure from other;Appearance pressure from teammates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived appearance based pressures from family;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived coach pressure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived parental pressure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived pressures from family;;;Pressure from family;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived pressures from media;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived pressures from peer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Perceived weight related coach pressure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Perception of social and sport pressure from other;Social pressure on body shape;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Perception of social and sport pressure from other;Social pressure on eating;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Perception of social and sport pressure from other;Appearance comparison;;;Teammate body comparison;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressure for thinness coaches;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressure to be thin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressure to be thin by friends;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressure to be thin by parents;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Pressures for thinness teammates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Social influence for thinness;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Pressure to be thin/thinness;Thinness related learning;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Thin-fat-others;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Thin-fat-others;Daily life thin-fat other;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Thin-fat-others;Sport thin-fat-others;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;;;;Weight pressures weight;;10;;;;3;"Assess the pressures female athletes experience in their sport
environment to diet, change their body size/shape, and/or achieve a certain physical appearance for their performances (Anderson et al., 2012)";Weight Pressures in Sport Females (WPS-F);;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Appearance and performance weight pressure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Coach related weight pressures in sport;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Coach related weight pressures in sport;Coach's pressure in relation to nutrition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;General weight pressure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Weight pressures;General weight pressure media;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;General weight pressure parent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;General weight pressure peer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Pressures to lose weight/change shape from teammates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Sport related weight pressures;;;Sport specific weight pressure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Weight pressure appearance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Weight pressure coach/teammate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and Sport pressure related to significant others;Weight pressures;Weight pressure in dance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Social and sport pressure related to significant others;Weight pressures;Weight pressure uniform;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Attractive body;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Attractive body;Perceived physical appearance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Attractive body;Physical attractiveness;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Attractive body;Sexual attractiveness;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Body appreciation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Body esteem appearance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Body esteem attribution;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Body esteem weight satisfaction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Weight influences esteem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Upper body strength;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Affective dimension of body image and self-esteem;Body esteem;Physical fitness;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Attitude toward unhealthy practice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Attitude toward unhealthy practice;Attitude towards unhealthy weight loss behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Attitude toward unhealthy practice;Attitude towards unhealthy exercising behavior;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body and muscularity attitude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body and muscularity attitude;Muscularity-oriented attitudes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body and muscularity attitude;Muscularity-oriented body image;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body and muscularity attitude;Body attitude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Muscle appearance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Muscle satisfaction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Satisfied with overall appearance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Satisfied with overall body;;Positive perception of the body;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Satisfaction with body shape and physical appearance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Body factor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Body parts satisfaction body;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Body parts satisfaction face;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Body satisfaction;;Body areas satisfaction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body appreciation;Body satisfaction for legs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body dissatisfaction;;Negative perception of the body;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Appearance intolerance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body image avoidance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body surveillance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body image duality;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Physique protection;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Specific body image dissatisfaction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Sports related body dissatisfaction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body dissatisfaction performance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body dissatisfaction appearance;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body fat dissatisfaction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body image dissatisfaction in sport;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body shame;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body shape;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body shape concerns and dissatisfaction;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body image dissatisfaction;Body dysmorphic concerns;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body talk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body talk;Fat talk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body talk;Male body talk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body talk;Muscle talk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Contextual expressions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Contextual expressions;Appearance daily life;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Contextual expressions;Appearance sport;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Contextual expressions;Muscularity daily life;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Body change;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Attitudinal dimension of body image;Evaluation sensitivity;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Appearance related expectancies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Appearance related expectancies;Thinness/restricting expectancies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Appearance related expectancies;Perceived benefits of gaining muscle mass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body as a tool;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body comparison and ideal perception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body comparison and ideal perception;Current body weight-ideal body weight;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body comparison and ideal perception;Ideal physique perception;;Male ideal physique perception;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body comparison and ideal perception;Body image ideals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Athletic ideal internalization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Internalization of thin/low body fat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Internalization of muscular/athletic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;General internalization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Internality;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Internalization in sport;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Internalization of body shape model;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Muscular ideal internalization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Sociocultural attitudes toward appearance-internalization;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Subjective norm related to gain muscle mass;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Intrapersonal factor related to DEAB;Body image and self-esteem;Cognitive dimension of body image and self-esteem;Body norms internalization;Thin ideal internalization;;Your body and sports;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
